"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME","YearMonth"
"1",51,55,46,NA,NA,NA,0.02,0,0,9.17,NA,280,280,2023-01-01,"LAGUARDIA AIRPORT, NY US",2023-01-01
"2",51,56,49,NA,NA,NA,0,0,0,5.59,NA,220,210,2023-01-02,"LAGUARDIA AIRPORT, NY US",2023-01-01
"3",49,55,43,NA,NA,NA,0.43,0,0,5.59,NA,40,220,2023-01-03,"LAGUARDIA AIRPORT, NY US",2023-01-01
"4",57,66,44,NA,NA,NA,0.01,0,0,8.28,NA,50,50,2023-01-04,"LAGUARDIA AIRPORT, NY US",2023-01-01
"5",46,48,44,NA,NA,NA,0.03,0,0,7.61,NA,40,40,2023-01-05,"LAGUARDIA AIRPORT, NY US",2023-01-01
"6",44,48,40,NA,NA,NA,0.24,0,0,8.5,NA,310,300,2023-01-06,"LAGUARDIA AIRPORT, NY US",2023-01-01
"7",42,45,38,NA,NA,NA,0,0,0,11.41,NA,320,330,2023-01-07,"LAGUARDIA AIRPORT, NY US",2023-01-01
"8",38,40,33,NA,NA,NA,0,0,0,8.5,NA,310,310,2023-01-08,"LAGUARDIA AIRPORT, NY US",2023-01-01
"9",40,44,38,NA,NA,NA,0,0,0,9.84,NA,310,310,2023-01-09,"LAGUARDIA AIRPORT, NY US",2023-01-01
"10",40,41,39,NA,NA,NA,0,0,0,8.72,NA,320,320,2023-01-10,"LAGUARDIA AIRPORT, NY US",2023-01-01
"11",38,40,35,NA,NA,NA,0,0,0,9.62,NA,60,60,2023-01-11,"LAGUARDIA AIRPORT, NY US",2023-01-01
"12",41,57,36,NA,NA,NA,0.3,0,0,11.41,NA,190,190,2023-01-12,"LAGUARDIA AIRPORT, NY US",2023-01-01
"13",51,55,38,NA,NA,NA,0.1,0,0,13.42,NA,310,310,2023-01-13,"LAGUARDIA AIRPORT, NY US",2023-01-01
"14",36,38,31,NA,NA,NA,0,0,0,18.57,NA,360,10,2023-01-14,"LAGUARDIA AIRPORT, NY US",2023-01-01
"15",33,40,30,NA,NA,NA,0,0,0,21.7,NA,350,340,2023-01-15,"LAGUARDIA AIRPORT, NY US",2023-01-01
"16",36,48,30,NA,NA,NA,0,0,0,14.09,NA,350,360,2023-01-16,"LAGUARDIA AIRPORT, NY US",2023-01-01
"17",41,47,36,NA,NA,NA,0,0,0,6.04,NA,290,300,2023-01-17,"LAGUARDIA AIRPORT, NY US",2023-01-01
"18",47,52,43,NA,NA,NA,0.04,0,0,13.87,NA,310,310,2023-01-18,"LAGUARDIA AIRPORT, NY US",2023-01-01
"19",43,45,40,NA,NA,NA,1.05,0,0,8.72,NA,50,60,2023-01-19,"LAGUARDIA AIRPORT, NY US",2023-01-01
"20",44,49,41,NA,NA,NA,0.01,0,0,12.53,NA,300,270,2023-01-20,"LAGUARDIA AIRPORT, NY US",2023-01-01
"21",40,41,37,NA,NA,NA,0,0,0,10.96,NA,300,310,2023-01-21,"LAGUARDIA AIRPORT, NY US",2023-01-01
"22",39,42,37,NA,NA,NA,0.52,0,0,8.05,NA,40,60,2023-01-22,"LAGUARDIA AIRPORT, NY US",2023-01-01
"23",38,39,36,NA,NA,NA,0.39,0,0,15.43,NA,310,320,2023-01-23,"LAGUARDIA AIRPORT, NY US",2023-01-01
"24",39,47,36,NA,NA,NA,0,0,0,14.32,NA,300,310,2023-01-24,"LAGUARDIA AIRPORT, NY US",2023-01-01
"25",39,55,35,NA,NA,NA,1.13,0,0,12.3,NA,170,180,2023-01-25,"LAGUARDIA AIRPORT, NY US",2023-01-01
"26",48,54,41,NA,NA,NA,0.34,0,0,17.22,NA,270,270,2023-01-26,"LAGUARDIA AIRPORT, NY US",2023-01-01
"27",41,44,37,NA,NA,NA,0,0,0,9.17,NA,260,270,2023-01-27,"LAGUARDIA AIRPORT, NY US",2023-01-01
"28",42,52,36,NA,NA,NA,0,0,0,10.74,NA,270,260,2023-01-28,"LAGUARDIA AIRPORT, NY US",2023-01-01
"29",47,53,39,NA,NA,NA,0,0,0,8.5,NA,240,230,2023-01-29,"LAGUARDIA AIRPORT, NY US",2023-01-01
"30",48,54,43,NA,NA,NA,0,0,0,6.71,NA,200,260,2023-01-30,"LAGUARDIA AIRPORT, NY US",2023-01-01
"31",41,50,31,NA,NA,NA,0.05,0,0,9.17,NA,330,340,2023-01-31,"LAGUARDIA AIRPORT, NY US",2023-01-01
"32",33,38,26,NA,NA,NA,0.02,0.2,0,9.17,NA,310,320,2023-02-01,"LAGUARDIA AIRPORT, NY US",2023-02-01
"33",34,40,28,NA,NA,NA,0,0,0,9.62,NA,240,240,2023-02-02,"LAGUARDIA AIRPORT, NY US",2023-02-01
"34",29,36,12,NA,NA,NA,0,0,0,25.05,NA,290,310,2023-02-03,"LAGUARDIA AIRPORT, NY US",2023-02-01
"35",13,26,5,NA,NA,NA,0,0,0,14.99,NA,320,320,2023-02-04,"LAGUARDIA AIRPORT, NY US",2023-02-01
"36",33,48,26,NA,NA,NA,0,0,0,8.05,NA,200,210,2023-02-05,"LAGUARDIA AIRPORT, NY US",2023-02-01
"37",43,50,35,NA,NA,NA,0,0,0,10.29,NA,350,350,2023-02-06,"LAGUARDIA AIRPORT, NY US",2023-02-01
"38",36,42,30,NA,NA,NA,0.01,0,0,9.17,NA,210,160,2023-02-07,"LAGUARDIA AIRPORT, NY US",2023-02-01
"39",44,53,39,NA,NA,NA,0,0,0,9.62,NA,310,320,2023-02-08,"LAGUARDIA AIRPORT, NY US",2023-02-01
"40",45,53,35,NA,NA,NA,0,0,0,7.38,NA,180,140,2023-02-09,"LAGUARDIA AIRPORT, NY US",2023-02-01
"41",54,60,45,NA,NA,NA,0,0,0,14.54,NA,260,270,2023-02-10,"LAGUARDIA AIRPORT, NY US",2023-02-01
"42",43,47,37,NA,NA,NA,0,0,0,12.53,NA,310,310,2023-02-11,"LAGUARDIA AIRPORT, NY US",2023-02-01
"43",42,47,38,NA,NA,NA,0.02,0,0,6.71,NA,40,50,2023-02-12,"LAGUARDIA AIRPORT, NY US",2023-02-01
